benchmark,year,size,memory,cycles,instructions,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-dcache-prefetch-misses,L1-icache-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,LLC-prefetches,LLC-prefetch-misses,dTLB-loads,dTLB-load-misses,dTLB-stores,dTLB-store-misses,iTLB-loads,iTLB-load-misses
perlbench,2017,ref,0,12451006,12499449,3107397,203497,0,91053,0,78615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
perlbench,2017,test,2928,814009605,2164803846,551622947,405483,166437867,173341,0,175916,10446,193,395,170,1741,266,698602315,226,275232736,32,914,33
perlbench,2017,train,39088,10686530658,27220594568,5236266216,48229219,1943542381,16778800,0,14616521,8565411,247760,218090,21238,332485,11620,7641721732,4932083,3447488608,222416,188623,6499
gcc,2017,ref,992840,1633281785331,2338947969634,443281854470,74271950514,95903323117,7207748554,0,4847774431,17022996979,2020045747,1086437633,45242271,27365722566,7211677465,667895006583,2251884732,172305325040,170760360,2886953429,106496545
gcc,2017,test,2592,5013094,12988293,4849519,241702,266332,122463,0,104500,178896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gcc,2017,train,726140,127575308888,192009088800,36024860790,3145329584,11707606215,654657193,0,410820534,1175828291,6909277,82525130,2240300,860826138,8372962,52645842445,186709043,20680613240,17341012,199390829,7647923
mcf,2017,ref,3,2436363828095,1691025105033,395011472216,138932360647,70578436762,11871532745,0,45038359,100116758292,14961310610,2629325816,1135648988,36362349585,7226813370,592017292775,580772542,127327192828,29005736,33690876,528434
mcf,2017,test,262008,32618637570,27496220265,6528627283,1923911223,1037896468,163161870,0,605844,1169360240,64747026,25397466,6105547,562600981,46043752,9735602148,2554479,1830493911,1246514,124022,3633
mcf,2017,train,559776,175646867466,137415873411,32211244509,9232118864,6098292457,896952516,0,2931634,5955727002,465301040,143523430,35020863,2662362382,245398155,48245458024,27417616,10581478667,5791853,664362,16490
omnetpp,2017,ref,8488,1024215082622,1054521530426,232231369331,32965796669,86445625463,11288093519,0,414766850,20502144255,2135912869,1786618278,122203354,1676672990,575238302,348296007298,1099993944,155466593120,152335072,256013028,10833781
omnetpp,2017,test,33352,9593377665,11800673162,2288759745,228672661,813234253,68735678,0,19520909,119908048,13393890,8688373,1000317,14037414,4223341,3381693592,30820625,1500972536,3925439,4110981,181509
omnetpp,2017,train,43132,149961412101,121510505784,26538408204,4261263698,9714497167,1282483850,0,82805303,2616811077,294578669,200781093,20295221,147833753,54873826,39730936767,758427823,17507687881,92074213,70882619,4055241
xalancbmk,2017,ref,87680,1188132315721,1309610422304,263882895656,67003279364,41101113478,2717847647,0,788996659,30957780497,38922165,581857000,42914377,9097499070,93907963,395736407569,4161575477,74165938545,46433314,634664288,19300960
xalancbmk,2017,test,0,195701511,388964193,105678821,3979459,34118181,564721,0,386196,165709,92,152040,980,745090,72,105892886,23651,31770684,8482,180676,7175
xalancbmk,2017,train,364208,125631044232,265882593609,58317303359,1246265293,22030313779,452579192,0,520323494,65931473,3731161,13789917,259936,111086004,5039591,87463289728,7227648,39654694371,775774,22181436,1503782
deepsjeng,2017,ref,64256,6248680228,1046632812,30502528,230324100,320437495,228548916,0,215905,1658048,282645,111240878,3639499,5810616,1241613,25254084,6114,566477783,41206,46925,377
deepsjeng,2017,test,6,30282962348,40075065222,6130904337,427938212,2408151109,371698182,0,14344895,24497192,13858651,199389314,37759070,29742318,23484978,9215828293,5305802,4284780254,52566,563788,33435
deepsjeng,2017,train,6,231048347980,362289245793,58117211810,2169499572,20670808288,1636026143,0,99590114,200096164,130586553,1004674998,358108767,250476412,232094063,87008722458,52353354,37193712697,303006,5174470,329856
leela,2017,ref,0,347867724,967126282,183605393,405132,77154132,183598,0,3156,1108,187,1321,72,34966,38,275084316,13355,119453885,214,8102,272
leela,2017,test,22744,17761549593,22596920887,3865293929,99809457,988178866,33280873,0,2841926,12633198,6859,2893723,15025,9352143,10164,5855802834,587458,1791775474,427398,2838560,193616
leela,2017,train,17216,284895331575,362981389690,62947155592,1300112334,15094794598,304656808,0,34778498,97743939,78648,15378250,24133,119060151,82942,94452976533,4219045,27136610736,1591002,40049357,2671618
exchange2,2017,ref,2612,3059899813153,6646468227904,1670219842753,71384949,757321878651,31090450,0,96854489,5618739,573856,1096021,197930,10099577,517079,2504081908275,1349393,1362260833628,82121,6259345,430169
exchange2,2017,test,2600,81361314373,175162580968,42091994921,2524021,18933901520,1129657,0,4221901,210667,14993,37597,4833,381771,14011,62897473090,56823,34131244663,2460,235328,20387
exchange2,2017,train,2604,231431525512,497568680311,119945726694,7203234,53662881666,3324808,0,14227768,653919,40098,128406,14060,1261939,34042,180028415541,164613,97096136918,9104,2429580,236695
fp,2017,ref,0,24922285449126,66464855116422,13197748324474,449393101677,1260565231963,70182094860,0,561727061,127096424795,9125757840,9894783257,1451408173,209464592713,167043259232,19777805690852,17238093,2269585586928,12887726,479013677,37447453
fp,2017,test,0,95826988367,274012062077,50011492405,1131270687,5260107084,279948956,0,2557000,232025633,18443624,27282023,5973828,508602705,380645539,75159033029,603910,9308720261,1100528,2317330,130015
fp,2017,train,0,494954467207,1421560733943,262770342254,5932432741,26910547835,1170521547,0,11364254,1465164596,105806729,128050505,27982230,2667275428,2037342169,392722476241,2104172,48050348560,2469911,10862944,698999
perlbench,2006,ref,98004,813538801804,2095176552158,376843693772,9948510793,121588191369,3270131999,0,1941678502,2423959018,46561504,143573362,10420765,912982313,55569523,563384705591,190678541,218124886864,26379668,301611665,12558099
perlbench,2006,test,0,706960176,1316362828,311673914,11737345,150064373,5280216,0,10743358,2755959,17315,195361,10135,1941346,6944,402891619,169388,104762200,24136,633498,27861
perlbench,2006,train,71524,46429402010,113656321113,22168609529,681992756,6981634303,197760740,0,174206529,147710588,1489392,7718681,172782,75569731,1825320,33239204904,10798844,12517743431,1546117,17039868,926104
bzip2,2006,ref,99196,1363519468177,2221946208582,441475562835,31397354586,97411496360,9222121580,0,20732044,10558494221,29207526,5093404889,70958615,4949514719,53189870,666407015255,5175552,176168569709,15342075,18128746,1894962
bzip2,2006,test,27004,14883501886,27879671935,4772374694,444922016,1173267354,186372879,0,255163,172425515,44994,123107226,18898,62699766,33044,7163410050,39032,1857009292,50268,51480,2484
bzip2,2006,train,35960,111405922806,166611478870,32312128215,2334811785,8570668794,681779565,0,1779109,773020838,1669407,325751553,2414583,441666104,4037527,49470615433,526052,15082712055,2261150,534347,57218
gcc,2006,ref,98756,761586839037,954198272060,149784299324,37575770659,78203739381,23598350919,0,618126362,6490893572,746854843,18637429551,133378658,9906291393,1610742330,222645038319,839076416,140567725738,38057517,158285753,8032382
gcc,2006,test,2504,2974544435,4227849750,693900804,54930141,291139364,17902273,0,9954995,14784871,10620,1288898,9856,16968008,11070,1081879457,3218977,514894062,130538,3364933,178264
gcc,2006,train,26388,1910143314,3009232575,530247878,51203756,212070891,19827849,0,4927917,14782436,55720,1916381,9952,18681582,69551,747980798,1844454,355408836,102008,489676,18720
gobmk,2006,ref,30784,1259881487159,1644303615335,268644733104,10650632073,94062721974,5789446708,0,4427800846,1573149387,8143138,941729314,30954417,1667045433,14531982,402599089799,84354412,169201374306,372967378,115502499,7407394
gobmk,2006,test,30316,42669956261,54952367920,8866639252,443398875,3422107595,289064721,0,156016870,61087843,320655,70724703,1131079,70790574,407958,13000750362,2512419,5784709100,12730395,4330393,266462
gobmk,2006,train,30308,239286210118,310980094756,50646058670,1821360258,18783260889,1053623354,0,873848474,288349479,2047533,97180693,2479405,249148710,1675489,75293222946,18271918,33526440956,74067085,19296426,1273020
hmmer,2006,ref,7612,1172080250443,2631719388533,745705841817,14186241008,187753141852,8301731772,0,39219330,555859349,690436,74658236,102892,8473455923,3288236,1117860080927,1825662,337681088217,3281580,43754719,800007
hmmer,2006,test,2508,6618435205,15080951029,3664025993,49826652,908151701,39654968,0,163964,294374,1507,13360,509,1186633,1142,5399849678,6339,1631140743,1366,106520,6636
hmmer,2006,train,4548,116697179305,260129636587,73196931061,1214746748,18444496889,813000236,0,2451854,43050252,20301,4959837,8406,792745600,15971,109750782212,85697,33179675649,28092,5266232,159719
sjeng,2006,ref,180316,1325393237306,2216468964916,345202607772,4890548386,85611557113,2085057797,0,347639417,1192150285,588856312,112935284,40535421,33069441,14694420,517362729795,21383186,154017941172,1707603,18082505,991033
sjeng,2006,test,180144,8825506257,14372189071,2226002184,59524260,593570812,33994545,0,3094251,8067281,3825178,3669827,1220183,2965992,2871171,3355766581,450932,1056375806,62545,145639,8578
sjeng,2006,train,180260,277171823752,460861714969,73651844766,1348507957,17351146087,551319842,0,65030302,296291197,147138968,34396921,10809091,11205523,6124850,110272930892,8567342,31231408834,533774,4030699,257639
h264ref,2006,ref,67320,1462597239566,3449529568921,925548306773,59454176561,189172843379,28260917457,0,672734357,2395992694,14931442,833452022,4165894,5282258783,33390936,1388099660694,5297168,340142219451,1445148,109765207,5923515
h264ref,2006,test,29392,29334377676,77934361501,21134743467,333079086,2377197895,77083826,0,10262753,69917137,41908,21735192,37660,136810246,222763,31576899855,577589,4232353664,269599,1764923,84374
h264ref,2006,train,29860,167132543969,445355533287,121336154134,1956441544,13197032039,466867454,0,49439199,429666075,107667,128394319,37019,829059411,53234,182140634334,7518719,23779625780,4108547,13532457,602917
astar,2006,ref,8356,1028430337081,1051698089585,203712413267,29304840361,40329311503,8319829364,0,16387057,13685314565,74378939,3138153518,15511226,1334429884,31416811,305603220957,1271696808,72490911748,1109492006,41231866,3111551
astar,2006,test,9452,23916585418,21471596606,4604814706,604371823,791284987,255458719,0,566990,139088796,5799,56551127,1752,66989910,2302,6825757655,7174930,1397082049,20686884,801047,76619
astar,2006,train,8184,229106913005,220010630603,43432901009,6343508609,7971594443,1947896970,0,3963078,2717945419,24603951,664623958,4666057,275743117,11958331,65205540984,243090612,14417869021,218817369,11244137,867759
omnetpp,2006,ref,95376,624396824547,550004762139,104016428547,20872437929,40421414990,6259681653,0,86003905,15492689493,1493001776,1152935774,84388261,2042273157,628903518,155244462389,1778137062,72477471233,268085609,77574453,2665671
omnetpp,2006,test,0,814800332,1624303460,355789263,7759327,159747681,2207363,0,1549832,283899,1424,19921,2319,292127,4233,437151643,108296,242515798,70524,287303,17018
omnetpp,2006,train,9012,119287384419,206308401745,38861771459,4033780480,16378396972,1424599026,0,69051800,256286419,79864,19821968,37040,219980542,116914,58277966293,19085315,29469123620,6180106,31270031,2354388
libquantum,2006,ref,90556,872229510691,1859116151494,149778960779,53824083237,34785943914,22410591100,0,19686106,21045321180,6619860578,9388449,3722616,32917163466,5977382506,224860392155,705216,62310857312,163623,554003,5465
libquantum,2006,test,0,76334842,209584768,10856328,769300,3888293,489605,0,1692,205,80,149,0,9359,1642,15272580,2820,2434782,702,32254,1615
libquantum,2006,train,2448,3756924302,10119069075,862449904,281771878,230061954,132172849,0,95192,48629735,1107,27097,247,222046037,3510,1188144255,2967,364355051,11721,7978,234
mcf,2006,ref,27564,676618601829,291547685767,66425485134,44213091857,13534754984,4990776327,0,11490016,27985069900,7777246368,192646757,4616255,6219235291,655074145,99673439030,2724898509,24552875612,15386975,1885738,26498
mcf,2006,test,9508,6817488582,3093224951,790350228,508997876,105652704,44482896,0,151762,206540878,63574961,1611402,69258,131455567,2977127,1180260026,2908367,126441578,119391,15421,253
mcf,2006,train,353716,37829215346,17702676883,4269457106,2965154301,837025533,231831723,0,693537,1304444849,275394138,9949930,677655,1590981689,32877512,6251992231,26741056,1443952752,527859,114107,1755
